"Post-
code",Gemeente,Deelgemeente,Provincie,Inwoners,"Facili-
teiten","Vertaling naam
(deel)gemeente"
2820,Bonheiden,,Antwerpen,14704,,
2830,Willebroek,,Antwerpen,25745,,
2840,Rumst,,Antwerpen,15140,,
2845,Niel,,Antwerpen,10136,,
2850,Boom,,Antwerpen,17737,,
2860,Sint-Katelijne-Waver,,Antwerpen,20609,,
2870,Puurs,,Antwerpen,16999,,
2880,Bornem,,Antwerpen,21039,,
2890,Sint-Amands,,Antwerpen,8332,,
2900,Schoten,,Antwerpen,34063,,
2910,Essen,,Antwerpen,18615,,
2920,Kalmthout,,Antwerpen,18336,,
2930,Brasschaat,,Antwerpen,37673,,
2940,Stabroek,,Antwerpen,18515,,
2950,Kapellen,,Antwerpen,26745,,
2960,Brecht,,Antwerpen,28534,,
2970,Schilde,,Antwerpen,19434,,
2980,Zoersel,,Antwerpen,21764,,
2990,Wuustwezel,,Antwerpen,20228,,
3000,Leuven,,Vlaams-Brabant,99288,,Louvain
3000,Louvain,,Vlaams-Brabant,,,Leuven
3020,Herent,,Vlaams-Brabant,21213,,
3040,Huldenberg,,Vlaams-Brabant,9743,,
3050,Oud-Heverlee,,Vlaams-Brabant,10973,,
3060,Bertem,,Vlaams-Brabant,9803,,
3070,Kortenberg,,Vlaams-Brabant,19714,,
3080,Tervuren,,Vlaams-Brabant,21572,,
3090,Overijse,,Vlaams-Brabant,24959,,
3110,Rotselaar,,Vlaams-Brabant,16439,,
3120,Tremelo,,Vlaams-Brabant,14733,,
3130,Begijnendijk,,Vlaams-Brabant,10058,,
3140,Keerbergen,,Vlaams-Brabant,12831,,
3150,Haacht,,Vlaams-Brabant,14296,,
3190,Boortmeerbeek,,Vlaams-Brabant,12102,,
3200,Aarschot,,Vlaams-Brabant,29529,,
3210,Lubbeek,,Vlaams-Brabant,14206,,
3220,Holsbeek,,Vlaams-Brabant,9935,,
3270,Scherpenheuvel-Zichem,,Vlaams-Brabant,22833,,Montaigu-Zichem
3270,Montaigu-Zichem,,Vlaams-Brabant,,,Scherpenheuvel-Zichem
3290,Diest,,Vlaams-Brabant,23538,,
3300,Tienen,,Vlaams-Brabant,34185,,Tirlemont
3300,Tirlemont,,Vlaams-Brabant,,,Tienen
3320,Hoegaarden,,Vlaams-Brabant,6891,,
3350,Linter,,Vlaams-Brabant,7188,,
3360,Bierbeek,,Vlaams-Brabant,9953,,
3370,Boutersem,,Vlaams-Brabant,8132,,
3380,Glabbeek,,Vlaams-Brabant,5305,,
3390,Tielt-Winge,,Vlaams-Brabant,10674,,
3400,Landen,,Vlaams-Brabant,15944,,
3440,Zoutleeuw,,Vlaams-Brabant,8364,,Léau
3440,Léau,,Vlaams-Brabant,,,Zoutleeuw
3450,Geetbets,,Vlaams-Brabant,5970,,
3460,Bekkevoort,,Vlaams-Brabant,6117,,
3470,Kortenaken,,Vlaams-Brabant,7930,,
3500,Hasselt,,Limburg,76685,,
3520,Zonhoven,,Limburg,21276,,
3530,Houthalen-Helchteren,,Limburg,30592,,
3540,Herk-de-Stad,,Limburg,12608,,Herck-la-Ville
3540,Herck-la-Ville,,Limburg,,,Herk-de-Stad
3545,Halen,,Limburg,9566,,
3550,Heusden-Zolder,,Limburg,33011,,
3560,Lummen,,Limburg,14603,,
3570,Alken,,Limburg,11456,,
3580,Beringen,,Limburg,45242,,
3590,Diepenbeek,,Limburg,18906,,
3600,Genk,,Limburg,65691,,
3620,Lanaken,,Limburg,25793,,
3630,Maasmechelen,,Limburg,37696,,
3640,Kinrooi,,Limburg,12309,,
3650,Dilsen-Stokkem,,Limburg,20287,,
3660,Opglabbeek,,Limburg,10297,,fuseert met Meeuwen-Gruitrode tot Oudsbergen per 1-1-2019
3665,As,,Limburg,8164,,
3670,Meeuwen-Gruitrode,,Limburg,13082,,fuseert met Opglabbeek tot Oudsbergen per 1-1-2019
,Oudsbergen,,Limburg,23379,,fusie van Opglabbeek en Meeuwen-Gruitrode per 1-1-2019
3680,Maaseik,,Limburg,25133,,
3690,Zutendaal,,Limburg,7239,,
3700,Tongeren,,Limburg,30720,,Tongres
3700,Tongres,,Limburg,,,Tongeren
3717,Herstappe,,Limburg,89,f,
3720,Kortessem,,Limburg,8359,,
3730,Hoeselt,,Limburg,9643,,
3740,Bilzen,,Limburg,31829,,
3770,Riemst,,Limburg,16572,,
3790,Voeren,,Limburg,4099,f,Fourons
3790,Fourons,,Limburg,,f,Voeren
3800,Sint-Truiden,,Limburg,40158,,Saint-Trond
3800,Saint-Trond,,Limburg,,,Sint-Truiden
3830,Wellen,,Limburg,7374,,
3840,Borgloon,,Limburg,10579,,Looz
3840,Looz,,Limburg,,,Borgloon
3850,Nieuwerkerken,,Limburg,6865,,
3870,Heers,,Limburg,7205,,
3890,Gingelom,,Limburg,8377,,
3900,Overpelt,,Limburg,14951,,fuseert met Neerpelt tot Pelt per 1-1-2019
3910,Neerpelt,,Limburg,16969,,fuseert met Overpelt tot Pelt per 1-1-2019
,Pelt,,Limburg,31920,,fusie van Overpelt en Neerpelt per 1-1-2019
3920,Lommel,,Limburg,33957,,
3930,Hamont-Achel,,Limburg,14356,,
3940,Hechtel-Eksel,,Limburg,12294,,
3945,Ham,,Limburg,10618,,
3950,Bocholt,,Limburg,12917,,
3960,Bree,,Limburg,15785,,
3970,Leopoldsburg,,Limburg,15358,,Bourg-Léopold
3970,Bourg-Léopold,,Limburg,,,Leopoldsburg
3980,Tessenderlo,,Limburg,18403,,
3990,Peer,,Limburg,16312,,
4000,Liège,,Liège,196970,,Luik
4000,Luik,,Liège,,,Liège
4040,Herstal,,Liège,39617,,
4050,Chaudfontaine,,Liège,20766,,
4100,Seraing,,Liège,64172,,
4120,Neupré,,Liège,9975,,
4130,Esneux,,Liège,13037,,
4140,Sprimont,,Liège,14417,,
4160,Anthisnes,,Liège,4116,,
4170,Comblain-au-Pont,,Liège,5360,,
4180,Hamoir,,Liège,3883,,
4190,Ferrières,,Liège,4847,,
4210,Burdinne,,Liège,3263,,
4217,Héron,,Liège,5178,,
4219,Wasseiges,,Liège,2844,,
4250,Geer,,Liège,3361,,
4257,Berloz,,Liège,3024,,
4260,Braives,,Liège,6238,,
4280,Hannut,,Liège,15998,,Hannuit
4280,Hannuit,,Liège,,,Hannut
4287,Lincent,,Liège,3281,,Lijsem
4287,Lijsem,,Liège,,,Lincent
4300,Waremme,,Liège,14906,,Borgworm
4300,Borgworm,,Liège,,,Waremme
4317,Faimes,,Liège,3911,,
4340,Awans,,Liège,9240,,
4347,Fexhe-le-Haut-Clocher,,Liège,3254,,
4350,Remicourt,,Liège,5906,,
4357,Donceel,,Liège,3032,,
4360,Oreye,,Liège,3853,,Oerle
4360,Oerle,,Liège,,,Oreye
4367,Crisnée,,Liège,3254,,
4400,Flémalle,,Liège,26058,,
4420,Saint-Nicolas,,Liège,24078,,Sint-Niklaas
4420,Sint-Niklaas,,Liège,,,Saint-Nicolas
4430,Ans,,Liège,28159,,
4450,Juprelle,,Liège,9223,,
4460,Grâce-Hollogne,,Liège,22145,,
4470,Saint-Georges-sur-Meuse,,Liège,6582,,
4480,Engis,,Liège,6018,,
4500,Huy,,Liège,21292,,Hoei
4500,Hoei,,Liège,,,Huy
4520,Wanze,,Liège,13626,,
4530,Villers-le-Bouillet,,Liège,6510,,
4537,Verlaine,,Liège,4122,,
4540,Amay,,Liège,14182,,
4550,Nandrin,,Liège,5840,,
4557,Tinlot,,Liège,2656,,
4560,Clavier,,Liège,4545,,
4570,Marchin,,Liège,5421,,
4577,Modave,,Liège,4163,,
4590,Ouffet,,Liège,2803,,
4600,Visé,,Liège,17748,,Wezet
4600,Wezet,,Liège,,,Visé
4607,Dalhem,,Liège,7280,,
4610,Beyne-Heusay,,Liège,12096,,
4620,Fléron,,Liège,16507,,
4630,Soumagne,,Liège,16662,,
4650,Herve,,Liège,17533,,
4670,Blégny,,Liège,13212,,
4680,Oupeye,,Liège,24772,,
4690,Bassenge,,Liège,8994,,Bitsingen
4690,Bitsingen,,Liège,,,Bassenge
4700,Eupen,,Liège,19338,deu,
4710,Lontzen,,Liège,5656,deu,
4720,Kelmis,,Liège,,deu,La Calamine
4720,La Calamine,,Liège,10917,deu,Kelmis
4730,Raeren,,Liège,10552,deu,
4750,Bütgenbach,,Liège,5605,deu,Butgenbach
4750,Butgenbach,,Liège,,deu,Bütgenbach
4760,Büllingen,,Liège,5484,deu,Bullange
4760,Bullange,,Liège,,deu,Büllingen
4770,Amel,,Liège,,deu,Amblève
4770,Amblève,,Liège,5492,deu,Amel
4780,Sankt Vith,,Liège,9637,deu,Saint-Vith
4780,Saint-Vith,,Liège,,deu,Sankt Vith
4790,Burg-Reuland,,Liège,3964,deu,
4800,Verviers,,Liège,55177,,
4820,Dison,,Liège,15124,,
4830,Limbourg,,Liège,5976,,Limburg
4830,Limburg,,Liège,,,Limbourg
4837,Baelen,,Liège,4370,,Balen
4837,Balen,,Liège,,,Baelen
4840,Welkenraedt,,Liège,9809,,Welkenraat
4840,Welkenraat,,Liège,,,Welkenraedt
4845,Jalhay,,Liège,8566,,
4850,Plombières,,Liège,10279,,Blieberg
4850,Blieberg,,Liège,,,Plombières
4860,Pepinster,,Liège,9703,,
4870,Trooz,,Liège,8215,,
4877,Olne,,Liège,3954,,
4880,Aubel,,Liège,4229,,
4890,Thimister-Clermont,,Liège,5698,,
4900,Spa,,Liège,10415,,
4910,Theux,,Liège,12092,,
4920,Aywaille,,Liège,12257,,
4950,Waimes,,Liège,7461,frd,Weismes
4950,Weismes,,Liège,,frd,Waimes
4960,Malmedy,,Liège,12415,frd,
4970,Stavelot,,Liège,7174,,
4980,Trois-Ponts,,Liège,2502,,
4987,Stoumont,,Liège,3113,,
4990,Lierneux,,Liège,3584,,
5000,Namur,,Namur,110632,,Namen
5000,Namen,,Namur,,,Namur
5030,Gembloux,,Namur,25528,,Gembloers
5030,Gembloers,,Namur,,,Gembloux
5060,Sambreville,,Namur,27887,,
5070,Fosses-la-Ville,,Namur,10412,,
5080,La Bruyère,,Namur,9060,,
5140,Sombreffe,,Namur,8388,,
5150,Floreffe,,Namur,7957,,
5170,Profondeville,,Namur,12109,,
5190,Jemeppe-sur-Sambre,,Namur,18978,,
5300,Andenne,,Namur,26281,,
5310,Éghezée,,Namur,15951,,
5330,Assesse,,Namur,6917,,
5340,Gesves,,Namur,7159,,
5350,Ohey,,Namur,5016,,
5360,Hamois,,Namur,7285,,
5370,Havelange,,Namur,5076,,
5377,Somme-Leuze,,Namur,5411,,
5380,Fernelmont,,Namur,7792,,
5500,Dinant,,Namur,13494,,
5520,Onhaye,,Namur,3164,,
5530,Yvoir,,Namur,9126,,
5537,Anhée,,Namur,7101,,
5540,Hastière,,Namur,5959,,
5550,Vresse-sur-Semois,,Namur,2650,,
5555,Bièvre,,Namur,3250,,
5560,Houyet,,Namur,4744,,
5570,Beauraing,,Namur,9069,,
5575,Gedinne,,Namur,4563,,
5580,Rochefort,,Namur,12540,,
5590,Ciney,,Namur,16323,,
5600,Philippeville,,Namur,9194,,
5620,Florennes,,Namur,11337,,
5630,Cerfontaine,,Namur,4853,,
5640,Mettet,,Namur,12898,,
5650,Walcourt,,Namur,18390,,
5660,Couvin,,Namur,13946,,
5670,Viroinval,,Namur,5806,,
5680,Doische,,Namur,2958,,
6000,Charleroi,,Hainaut,202182,,
6110,Montigny-le-Tilleul,,Hainaut,10095,,
6120,Ham-sur-Heure-Nalinnes,,Hainaut,13579,,
6140,Fontaine-l'Évêque,,Hainaut,17808,,
6150,Anderlues,,Hainaut,12012,,
6180,Courcelles,,Hainaut,31217,,
6200,Châtelet,,Hainaut,36463,,
6210,Les Bons Villers,,Hainaut,9367,,
6220,Fleurus,,Hainaut,22802,,
6230,Pont-à-Celles,,Hainaut,17093,,
6240,Farciennes,,Hainaut,11338,,
6250,Aiseau-Presles,,Hainaut,10805,,
6280,Gerpinnes,,Hainaut,12527,,
6440,Froidchapelle,,Hainaut,3908,,
6460,Chimay,,Hainaut,9850,,
6470,Sivry-Rance,,Hainaut,4848,,
6500,Beaumont,,Hainaut,7052,,
6530,Thuin,,Hainaut,14494,,
6540,Lobbes,,Hainaut,5707,,
6560,Erquelinnes,,Hainaut,9920,,
6567,Merbes-le-Château,,Hainaut,4279,,
6590,Momignies,,Hainaut,5339,,
6600,Bastogne,,Luxembourg,15580,,Bastenaken
6600,Bastenaken,,Luxembourg,,,Bastogne
6630,Martelange,,Luxembourg,1767,,
6637,Fauvillers,,Luxembourg,2237,,
6640,Vaux-sur-Sûre,,Luxembourg,5502,,
6660,Houffalize,,Luxembourg,5177,,
6670,Gouvy,,Luxembourg,5156,,
6680,Sainte-Ode,,Luxembourg,2495,,
6687,Bertogne,,Luxembourg,3483,,
6690,Vielsalm,,Luxembourg,7689,,
6700,Arlon,,Luxembourg,29274,,Aarlen
6700,Aarlen,,Luxembourg,,,Arlon
6717,Attert,,Luxembourg,5411,,
6720,Habay,,Luxembourg,8380,,
6730,Tintigny,,Luxembourg,4255,,
6740,Étalle,,Luxembourg,5746,,
6747,Saint-Léger,,Luxembourg,3532,,
6750,Musson,,Luxembourg,4482,,
6760,Virton,,Luxembourg,11389,,
6767,Rouvroy,,Luxembourg,2094,,
6769,Meix-devant-Virton,,Luxembourg,2791,,
6780,Messancy,,Luxembourg,8082,,
6790,Aubange,,Luxembourg,16646,,
6800,Libramont-Chevigny,,Luxembourg,11088,,
6810,Chiny,,Luxembourg,5233,,
6820,Florenville,,Luxembourg,5632,,
6830,Bouillon,,Luxembourg,5408,,
6840,Neufchâteau,,Luxembourg,7488,,
6850,Paliseul,,Luxembourg,5305,,
6860,Léglise,,Luxembourg,5180,,
6870,Saint-Hubert,,Luxembourg,5553,,
6880,Bertrix,,Luxembourg,8667,,
6887,Herbeumont,,Luxembourg,1658,,
6890,Libin,,Luxembourg,5069,,
6900,Marche-en-Famenne,,Luxembourg,17415,,
6920,Wellin,,Luxembourg,3027,,
6927,Tellin,,Luxembourg,2460,,
6929,Daverdisse,,Luxembourg,1457,,
6940,Durbuy,,Luxembourg,11478,,
6950,Nassogne,,Luxembourg,5407,,
6960,Manhay,,Luxembourg,3380,,
6970,Tenneville,,Luxembourg,2789,,
6980,La Roche-en-Ardenne,,Luxembourg,4189,,
6987,Rendeux,,Luxembourg,2576,,
6990,Hotton,,Luxembourg,5468,,
6997,Érezée,,Luxembourg,3232,,
7000,Mons,,Hainaut,94964,,Bergen
7000,Bergen,,Hainaut,,,Mons
7040,Quévy,,Hainaut,8122,,
7050,Jurbise,,Hainaut,10529,,Jurbeke
7050,Jurbeke,,Hainaut,,,Jurbise
7060,Soignies,,Hainaut,27257,,Zinnik
7060,Zinnik,,Hainaut,,,Soignies
7070,Le Roeulx,,Hainaut,8472,,
7080,Frameries,,Hainaut,21828,,
7090,Braine-le-Comte,,Hainaut,21426,,'s-Gravenbrakel
7090,'s-Gravenbrakel,,Hainaut,,,Braine-le-Comte
7100,La Louvière,,Hainaut,80430,,
7120,Estinnes,,Hainaut,7679,,
7130,Binche,,Hainaut,33445,,
7140,Morlanwelz,,Hainaut,19097,,
7160,Chapelle-lez-Herlaimont,,Hainaut,14810,,
7170,Manage,,Hainaut,23053,,
7180,Seneffe,,Hainaut,11027,,
7190,Écaussinnes,,Hainaut,10922,,
7300,Boussu,,Hainaut,19748,,
7320,Bernissart,,Hainaut,11943,,
7330,Saint-Ghislain,,Hainaut,23085,,
7340,Colfontaine,,Hainaut,20605,,
7350,Hensies,,Hainaut,6872,,
7370,Dour,,Hainaut,16733,,
7380,Quiévrain,,Hainaut,6715,,
7387,Honnelles,,Hainaut,5189,,
7390,Quaregnon,,Hainaut,19086,,
7500,Tournai,,Hainaut,69471,,Doornik
7500,Doornik,,Hainaut,,,Tournai
7600,Péruwelz,,Hainaut,17132,,
7610,Rumes,,Hainaut,5174,,
7620,Brunehaut,,Hainaut,8068,,
7640,Antoing,,Hainaut,7817,,
7700,Mouscron,,Hainaut,57391,n,Moeskroen
7700,Moeskroen,,Hainaut,,n,Mouscron
7730,Estaimpuis,,Hainaut,10255,,Steenput
7730,Steenput,,Hainaut,,,Estaimpuis
7740,Pecq,,Hainaut,5598,,
7750,Mont-de-l'Enclus,,Hainaut,3710,,
7760,Celles,,Hainaut,5611,,
7780,Comines-Warneton,,Hainaut,18101,n,Komen-Waasten
7780,Komen-Waasten,,Hainaut,,n,Comines-Warneton
7800,Ath,,Hainaut,28951,,Aat
7800,Aat,,Hainaut,,,Ath
7830,Silly,,Hainaut,8353,,Opzullik
